Date,"LT Real Average (10> Yrs)"
12/30/2022,1.78
12/29/2022,1.74
12/28/2022,1.79
12/27/2022,1.76
12/23/2022,1.72
12/22/2022,1.65
12/21/2022,1.61
12/20/2022,1.64
12/19/2022,1.61
12/16/2022,1.55
12/15/2022,1.48
12/14/2022,1.50
12/13/2022,1.45
12/12/2022,1.44
12/09/2022,1.43
12/08/2022,1.28
12/07/2022,1.29
12/06/2022,1.36
12/05/2022,1.39
12/02/2022,1.31
12/01/2022,1.46
11/30/2022,1.63
11/29/2022,1.72
11/28/2022,1.64
11/25/2022,1.60
11/23/2022,1.61
11/22/2022,1.69
11/21/2022,1.75
11/18/2022,1.81
11/17/2022,1.75
11/16/2022,1.69
11/15/2022,1.75
11/14/2022,1.84
11/10/2022,1.77
11/09/2022,1.98
11/08/2022,1.92
11/07/2022,1.95
11/04/2022,1.96
11/03/2022,1.94
11/02/2022,1.81
11/01/2022,1.81
10/31/2022,1.86
10/28/2022,1.83
10/27/2022,1.86
10/26/2022,1.93
10/25/2022,1.93
10/24/2022,1.96
10/21/2022,2.01
10/20/2022,1.95
10/19/2022,1.98
10/18/2022,1.91
10/17/2022,1.85
10/14/2022,1.86
10/13/2022,1.93
10/12/2022,1.92
10/11/2022,1.94
10/07/2022,1.93
10/06/2022,1.94
10/05/2022,1.90
10/04/2022,1.80
10/03/2022,1.80
09/30/2022,1.95
09/29/2022,1.84
09/28/2022,1.70
09/27/2022,1.85
09/26/2022,1.70
09/23/2022,1.55
09/22/2022,1.55
09/21/2022,1.40
09/20/2022,1.46
09/19/2022,1.44
09/16/2022,1.41
09/15/2022,1.34
09/14/2022,1.31
09/13/2022,1.36
09/12/2022,1.37
09/09/2022,1.29
09/08/2022,1.27
09/07/2022,1.22
09/06/2022,1.27
09/02/2022,1.17
09/01/2022,1.22
08/31/2022,1.11
08/30/2022,1.02
08/29/2022,1.04
08/26/2022,1.00
08/25/2022,1.02
08/24/2022,1.06
08/23/2022,1.02
08/22/2022,1.01
08/19/2022,1.00
08/18/2022,0.96
08/17/2022,1.04
08/16/2022,1.01
08/15/2022,1.02
08/12/2022,1.01
08/11/2022,1.03
08/10/2022,0.94
08/09/2022,0.91
08/08/2022,0.87
08/05/2022,0.94
08/04/2022,0.87
08/03/2022,0.84
08/02/2022,0.91
08/01/2022,0.78
07/29/2022,0.82
07/28/2022,0.88
07/27/2022,0.94
07/26/2022,0.99
07/25/2022,0.99
07/22/2022,0.97
07/21/2022,1.08
07/20/2022,1.10
07/19/2022,1.08
07/18/2022,1.06
07/15/2022,1.03
07/14/2022,1.07
07/13/2022,1.06
07/12/2022,1.12
07/11/2022,1.16
07/08/2022,1.20
07/07/2022,1.16
07/06/2022,1.12
07/05/2022,1.03
07/01/2022,1.08
06/30/2022,1.12
06/29/2022,1.16
06/28/2022,1.08
06/27/2022,1.03
06/24/2022,0.96
06/23/2022,0.95
06/22/2022,0.95
06/21/2022,1.05
06/17/2022,1.00
06/16/2022,1.00
06/15/2022,1.00
06/14/2022,1.15
06/13/2022,1.04
06/10/2022,0.81
06/09/2022,0.76
06/08/2022,0.76
06/07/2022,0.72
06/06/2022,0.75
06/03/2022,0.69
06/02/2022,0.76
06/01/2022,0.80
05/31/2022,0.81
05/27/2022,0.71
05/26/2022,0.73
05/25/2022,0.76
05/24/2022,0.75
05/23/2022,0.80
05/20/2022,0.76
05/19/2022,0.74
05/18/2022,0.65
05/17/2022,0.76
05/16/2022,0.70
05/13/2022,0.68
05/12/2022,0.68
05/11/2022,0.62
05/10/2022,0.77
05/09/2022,0.76
05/06/2022,0.72
05/05/2022,0.64
05/04/2022,0.51
05/03/2022,0.56
05/02/2022,0.63
04/29/2022,0.46
04/28/2022,0.36
04/27/2022,0.43
04/26/2022,0.40
04/25/2022,0.37
04/22/2022,0.37
04/21/2022,0.32
04/20/2022,0.35
04/19/2022,0.45
04/18/2022,0.40
04/14/2022,0.37
04/13/2022,0.33
04/12/2022,0.30
04/11/2022,0.30
04/08/2022,0.26
04/07/2022,0.23
04/06/2022,0.17
04/05/2022,0.10
04/04/2022,0.02
04/01/2022,0.00
03/31/2022,-0.04
03/30/2022,-0.02
03/29/2022,0.03
03/28/2022,0.00
03/25/2022,0.03
03/24/2022,-0.06
03/23/2022,-0.09
03/22/2022,0.01
03/21/2022,-0.03
03/18/2022,-0.14
03/17/2022,-0.13
03/16/2022,-0.07
03/15/2022,-0.09
03/14/2022,-0.19
03/11/2022,-0.30
03/10/2022,-0.22
03/09/2022,-0.27
03/08/2022,-0.39
03/07/2022,-0.31
03/04/2022,-0.25
03/03/2022,-0.20
03/02/2022,-0.23
03/01/2022,-0.26
02/28/2022,-0.19
02/25/2022,0.01
02/24/2022,0.01
02/23/2022,0.04
02/22/2022,0.03
02/18/2022,0.04
02/17/2022,0.10
02/16/2022,0.08
02/15/2022,0.11
02/14/2022,0.05
02/11/2022,0.02
02/10/2022,0.05
02/09/2022,-0.01
02/08/2022,-0.01
02/07/2022,-0.01
02/04/2022,0.00
02/03/2022,-0.08
02/02/2022,-0.14
02/01/2022,-0.15
01/31/2022,-0.19
01/28/2022,-0.21
01/27/2022,-0.17
01/26/2022,-0.10
01/25/2022,-0.16
01/24/2022,-0.19
01/21/2022,-0.18
01/20/2022,-0.10
01/19/2022,-0.11
01/18/2022,-0.12
01/14/2022,-0.16
01/13/2022,-0.23
01/12/2022,-0.23
01/11/2022,-0.29
01/10/2022,-0.21
01/07/2022,-0.22
01/06/2022,-0.21
01/05/2022,-0.27
01/04/2022,-0.35
01/03/2022,-0.43